Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,141.275,-112.4625,90.0,top
C1,130.775,-87.575,90.0,top
C10,135.775,-90.2625,90.0,top
C11,133.975,-90.6625,90.0,top
C12,126.775,-91.7625,90.0,top
C13,123.2,-93.4375,180.0,top
C2,129.275,-90.9,90.0,top
C3,138.275,-111.9625,90.0,top
C4,138.35,-87.2125,270.0,top
C5,126.0,-93.6625,0.0,top
C6,129.375,-95.0625,0.0,top
C7,124.575,-97.2625,270.0,top
C8,157.6425,-89.1625,180.0,top
C9,157.375,-87.9625,180.0,top
D1,123.075,-103.3625,270.0,top
D3,124.15,-86.9125,90.0,top
EN1,141.375,-86.4625,90.0,top
J1,127.875,-111.9625,0.0,top
Q1,134.425,-96.325,270.0,top
Q2,134.475,-102.325,90.0,top
R1,133.875,-109.665,90.0,top
R11,134.875,-92.6625,180.0,top
R12,122.775,-86.565,90.0,top
R13,125.375,-86.6625,90.0,top
R2,121.875,-109.6625,90.0,top
R3,132.075,-102.025,90.0,top
R4,136.725,-97.185,90.0,top
R5,150.675,-110.5625,0.0,top
R6,155.275,-110.5625,180.0,top
R7,122.6,-96.7625,270.0,top
R8,139.525,-108.7875,270.0,top
R9,139.475,-91.5625,90.0,top
U1,154.235,-99.4625,270.0,top
U2,131.325,-91.1625,90.0,top
U3,119.175,-99.4625,180.0,bottom
U5,127.775,-99.325,0.0,top
U6,127.8375,-105.1625,90.0,top
U7,124.4,-90.6875,270.0,top
